"","open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
"70",2021-06-01 16:58:00,35911.89,35968.05,35911.89,35937.69,54.451182,2021-06-01 16:58:59,1957362.53091401,880,34.72891,1248551.2929215,"BTCUSDT"
"71",2021-06-01 16:59:00,35937.68,36000,35937.67,35973.87,50.327459,2021-06-01 16:59:59,1810918.93626732,882,24.374469,877089.12630666,"BTCUSDT"
"72",2021-06-01 17:00:00,35973.86,36043.63,35962.13,36038.06,40.718829,2021-06-01 17:00:59,1465789.61762115,1061,18.347956,660516.4558938,"BTCUSDT"
"73",2021-06-01 17:01:00,36038.06,36147.25,35998.4,36056.79,137.90246,2021-06-01 17:01:59,4972446.20987826,1978,103.715176,3740084.58243469,"BTCUSDT"
"74",2021-06-01 17:02:00,36057.75,36200,36047.66,36136.3,139.23429,2021-06-01 17:02:59,5028322.10690757,2317,94.375289,3408400.29254262,"BTCUSDT"
"75",2021-06-01 17:03:00,36136.3,36140.81,36079.55,36096.43,36.295712,2021-06-01 17:03:59,1310368.13608232,922,11.751144,424227.87048833,"BTCUSDT"
"76",2021-06-01 17:04:00,36096.49,36104,36071.96,36071.97,23.824139,2021-06-01 17:04:59,859757.8416257,734,10.860009,391904.5628506,"BTCUSDT"
"77",2021-06-01 17:05:00,36071.97,36086.88,36048.99,36081.35,21.972435,2021-06-01 17:05:59,792486.92530043,792,9.770832,352393.05834739,"BTCUSDT"
"78",2021-06-01 17:06:00,36081.35,36094.85,36005.96,36011.01,33.933739,2021-06-01 17:06:59,1223678.14040642,929,17.341012,625391.44743624,"BTCUSDT"
"79",2021-06-01 17:07:00,36011,36049.75,35964.75,35967.8,45.325069,2021-06-01 17:07:59,1632311.22374956,840,27.700009,997708.99244656,"BTCUSDT"
"80",2021-06-01 17:08:00,35967.8,35982.84,35878.8,35879.13,53.593204,2021-06-01 17:08:59,1925490.69513132,1393,16.574677,595506.17446148,"BTCUSDT"
"81",2021-06-01 17:09:00,35881.16,35905.87,35873.08,35881.44,20.998524,2021-06-01 17:09:59,753568.46594545,754,10.570797,379332.11127772,"BTCUSDT"
"82",2021-06-01 17:10:00,35881.44,35965.89,35874.66,35945.86,14.223313,2021-06-01 17:10:59,511005.8289729,607,8.78049,315442.08687995,"BTCUSDT"
"83",2021-06-01 17:11:00,35944.03,35949.99,35903.37,35945.5,15.144226,2021-06-01 17:11:59,544150.36019353,553,5.325005,191340.65225473,"BTCUSDT"
"84",2021-06-01 17:12:00,35945.51,36037.12,35941.09,36020.12,25.289873,2021-06-01 17:12:59,910058.87384465,773,16.281989,585946.49431881,"BTCUSDT"
"85",2021-06-01 17:13:00,36020.13,36098.98,36018.61,36076.91,38.543375,2021-06-01 17:13:59,1390115.70302514,1021,20.660983,745329.03347678,"BTCUSDT"
"86",2021-06-01 17:14:00,36076.91,36103.12,36050.32,36080.55,26.034195,2021-06-01 17:14:59,939414.01798364,786,12.506242,451252.75975142,"BTCUSDT"
"87",2021-06-01 17:15:00,36080.55,36128,36080.55,36116.38,29.469606,2021-06-01 17:15:59,1064281.63696093,923,14.061842,507812.54107619,"BTCUSDT"
"88",2021-06-01 17:16:00,36116.38,36120.04,36055.56,36075.1,30.596388,2021-06-01 17:16:59,1103804.81901468,701,16.998004,613213.85173192,"BTCUSDT"
"89",2021-06-01 17:17:00,36075.1,36075.17,36005.75,36050.28,39.035954,2021-06-01 17:17:59,1406332.21048903,840,13.999597,504330.82202335,"BTCUSDT"
"90",2021-06-01 17:18:00,36050.91,36130.62,36050.91,36095.26,43.962445,2021-06-01 17:18:59,1587039.7499866,888,31.658597,1142914.79568353,"BTCUSDT"
"91",2021-06-01 17:19:00,36095.26,36124.37,36091.74,36112.45,26.47519,2021-06-01 17:19:59,956127.61639212,602,17.511808,632445.0211593,"BTCUSDT"
"92",2021-06-01 17:20:00,36112.45,36170.82,36112.45,36133.45,64.761494,2021-06-01 17:20:59,2341389.84458714,1038,48.579219,1756370.62043953,"BTCUSDT"
